aso,brand,capacity,color,fuel_type,horse_power,is_used,mileage,no_accidents,number_of_doors,origin_country,price,transmission,type,year
None,Audi,2967,Niebieski,Diesel,224,True,282000,True,5,Niemcy,22900,Automatyczna,None,2005
None,Mercedes-Benz,2148,Bordowy,Diesel,143,True,227000,None,3,Niemcy,12900,Manualna,None,2001
None,BMW,2993,Inny kolor,Diesel,245,True,295000,True,5,Niemcy,36900,Automatyczna,None,2008
None,Citroën,1499,Szary,Diesel,102,True,184000,None,5,None,51999,Manualna,None,2019
None,Mazda,2000,Czarny,Benzyna,121,True,47000,None,5,None,74990,Manualna,None,2018
True,Toyota,1997,Brązowy,Diesel,177,True,119854,True,3,Polska,169999,Automatyczna,None,2020
None,Mercedes-Benz,2148,Czarny,Diesel,150,True,420000,None,4,None,3500,Automatyczna,None,2006
None,Citroën,1560,Srebrny,Diesel,102,True,195000,None,5,None,31500,Manualna,None,2018
None,Ford,998,Szary,Benzyna,100,True,64000,None,5,Francja,29900,Manualna,None,2019
True,Opel,1956,Granatowy,Diesel,170,True,120000,True,4,None,65800,Manualna,None,2018
None,BMW,1995,Granatowy,Benzyna,143,True,299884,True,5,Holandia,11600,Manualna,None,2008
True,BMW,2993,Biały,Diesel,258,True,88000,True,5,None,225000,Automatyczna,None,2018
None,Volvo,1969,Biały,Benzyna,320,True,148391,None,5,None,60999,Automatyczna,None,2016
None,Maserati,4244,Błękitny,Benzyna,390,True,30235,True,3,None,159000,Automatyczna,None,2005
None,BMW,1997,Szary,Benzyna,184,True,164000,None,5,None,49900,Manualna,None,2012
None,Ford,1997,Niebieski,Diesel,238,True,53300,None,5,Stany Zjednoczone,139000,Automatyczna,None,2022
True,Mercedes-Benz,3982,Czarny,Benzyna,612,True,21750,True,4,Polska,619900,Automatyczna,None,2022
True,Opel,1364,Czerwony,Benzyna,140,True,143000,True,5,None,49900,Manualna,None,2015
None,Volkswagen,1395,Granatowy,Benzyna,150,True,24950,True,5,Polska,69500,Automatyczna,None,2015
None,Mercedes-Benz,2999,Czarny,Benzyna,449,False,1,True,4,Polska,583000,Automatyczna,None,2022
True,Opel,1399,Granatowy,Benzyna,150,True,83640,None,5,Polska,54900,Manualna,None,2018
True,Subaru,1994,Czerwony,Benzyna,150,True,202000,True,5,Polska,19000,Manualna,None,2008
None,Ford,1399,Biały,Diesel,70,True,301000,None,3,None,6765,Manualna,None,2011
True,Mitsubishi,1798,Bordowy,Diesel,116,True,128601,True,5,Belgia,49800,Manualna,None,2014
None,Chevrolet,1206,Srebrny,Benzyna+LPG,82,True,256816,None,5,None,5500,Manualna,None,2010
True,Volvo,1969,Inny kolor,Diesel,190,True,157000,True,5,Belgia,112900,Manualna,None,2018
None,Chrysler,3605,Beżowy,Benzyna,286,True,135000,None,5,None,97900,Automatyczna,None,2017
None,Volkswagen,1896,Szary,Diesel,105,True,307000,None,5,None,14500,Automatyczna,None,2006
True,Dacia,1333,Inny kolor,Benzyna,150,True,72959,None,5,Polska,30900,Manualna,None,2019
None,Toyota,998,Czerwony,Benzyna,69,True,114515,None,5,Polska,35900,Manualna,None,2016
None,Volkswagen,1595,Srebrny,Benzyna,102,True,139990,None,5,None,16800,Manualna,None,2006
True,Porsche,2995,Czarny,Hybryda,333,True,260000,None,5,Stany Zjednoczone,79990,Automatyczna,None,2011
True,Citroën,1749,Niebieski,Benzyna,125,True,170000,True,5,Holandia,18900,Manualna,None,2008
None,Renault,1332,Niebieski,Benzyna,140,True,19520,True,5,Polska,93900,Automatyczna,None,2022
None,Audi,1896,Czarny,Diesel,115,True,215000,None,5,None,18999,Manualna,None,2006
None,Chevrolet,1686,Srebrny,Diesel,130,True,254000,None,4,None,22300,Manualna,None,2012
True,Mazda,1998,Biały,Benzyna,180,True,183000,True,5,Holandia,79900,Manualna,None,2019
True,Volkswagen,2967,Czarny,Diesel,231,True,36600,True,5,Polska,259900,Automatyczna,None,2020
True,Mercedes-Benz,1595,Srebrny,Benzyna,156,True,104000,True,5,Niemcy,86000,Automatyczna,None,2015
None,Ford,1242,Czarny,Benzyna,82,True,112000,None,3,None,9300,Manualna,None,2013
None,Toyota,1798,Brązowy,Hybryda,98,True,42000,None,5,Dania,99000,Automatyczna,None,2022
None,Fiat,1242,Czerwony,Benzyna,69,True,213000,True,3,Niemcy,14500,Manualna,None,2008
None,Audi,1968,Czarny,Diesel,170,True,386505,True,5,Niemcy,14999,Manualna,None,2008
True,Opel,998,Biały,Benzyna,60,True,229500,None,3,Niemcy,9999,Manualna,None,2009
None,Kia,1685,Biały,Diesel,136,True,167000,True,4,None,45999,Manualna,None,2013
True,Mazda,2488,Biały,Benzyna,192,True,72000,True,5,Polska,94900,Automatyczna,None,2016
None,Audi,1896,Inny kolor,Diesel,90,True,379000,None,4,None,4900,Manualna,None,1999
None,Volkswagen,1968,Czarny,Diesel,150,True,168000,True,5,None,44500,Manualna,None,2012
None,Citroën,1560,Srebrny,Diesel,115,True,175000,None,5,None,18300,Manualna,None,2012
None,Honda,1339,Szary,Benzyna,95,True,180000,None,4,None,18500,Manualna,None,2009
True,Mercedes-Benz,1950,Czarny,Diesel,163,True,43800,True,5,Polska,196000,Automatyczna,None,2020
None,Skoda,1968,Biały,Diesel,150,True,152486,None,5,None,85700,Automatyczna,None,2018
True,Renault,1461,Czarny,Diesel,110,True,260000,True,5,Polska,39000,Manualna,None,2016
None,Volkswagen,1968,Błękitny,Diesel,140,True,247000,None,5,Niemcy,15900,Manualna,None,2007
True,Skoda,999,Srebrny,Benzyna,110,True,100000,None,5,Polska,46986,Manualna,None,2017
True,Mercedes-Benz,1950,Granatowy,Diesel,194,True,73000,True,5,Polska,199900,Automatyczna,None,2019
None,Kia,1998,Czarny,Benzyna,145,True,177000,True,5,Niemcy,16900,Manualna,None,2008
None,Ford,2000,Srebrny,Diesel,150,True,174000,None,5,None,67900,Manualna,None,2018
True,Volkswagen,1984,Niebieski,Benzyna,210,True,151000,None,5,Francja,46800,Automatyczna,None,2010
None,Opel,1598,Srebrny,Benzyna,115,True,47700,None,5,None,68777,Manualna,None,2017
None,Seat,1598,Pomarańczowy,Diesel,90,True,174400,None,5,None,9900,Manualna,None,2009
True,Mitsubishi,1499,Szary,Benzyna,163,True,100000,True,5,Niemcy,79900,Automatyczna,None,2018
True,Kia,1685,Czarny,Diesel,115,True,158445,True,5,Niemcy,47900,Manualna,None,2012
None,Volvo,1984,Srebrny,Diesel,163,True,143460,None,5,Francja,23500,Automatyczna,None,2013
None,Opel,1199,Biały,Benzyna,75,True,15500,None,5,None,25500,Manualna,None,2020
True,Peugeot,1997,Niebieski,Diesel,136,True,174006,True,2,Niemcy,12550,Manualna,None,2008
None,BMW,2993,Czarny,Diesel,340,True,21800,None,5,None,419000,Automatyczna,None,2022
None,Hyundai,1248,Biały,Benzyna,75,True,24800,None,5,None,31000,Manualna,None,2020
None,Ford,1560,Czarny,Diesel,90,True,158000,None,3,None,16500,Manualna,None,2009
True,Ford,1997,Biały,Diesel,140,True,342000,True,5,Niemcy,30900,Manualna,None,2012
None,Kia,1582,Czarny,Diesel,128,True,139000,True,5,None,38700,Automatyczna,None,2012
True,Ford,1997,Srebrny,Diesel,140,True,240000,True,5,Polska,22500,Manualna,None,2011
True,Kia,1591,Inny kolor,Benzyna,135,True,147906,True,5,Belgia,51900,Manualna,None,2014
